student_id,gender,grade_level,attendance_pct,study_hours_per_day,math_score,science_score,english_score,history_score,overall_score,performance_tier
STU00001,Female,9,70.1,6.1,67.6,60.3,60.1,57.8,62.0,Medium
STU00002,Male,11,58.1,3.3,63.6,68.4,54.5,71.8,64.9,Low
STU00003,Male,9,66.7,3.3,65.1,61.4,72.1,59.1,64.2,Medium
STU00004,Male,9,67.9,6.1,69.2,79.0,78.7,63.9,73.0,Medium
STU00005,Male,11,95.6,7.2,64.1,69.8,67.1,70.7,67.7,High
STU00006,Female,12,89.6,4.9,60.0,73.8,63.9,59.5,64.8,High
STU00007,Female,10,90.4,6.5,62.2,65.7,64.3,70.0,65.2,High
STU00008,Female,11,49.4,0.5,57.2,84.3,69.4,71.6,70.6,Low
STU00009,Male,10,80.6,6.8,71.7,65.2,58.0,49.8,62.6,Medium
STU00010,Male,10,82.0,1.0,74.8,80.9,70.1,69.2,74.6,Medium
STU00011,Male,10,91.7,7.4,57.5,59.0,63.2,53.3,58.2,High
STU00012,Male,9,45.3,3.5,47.2,69.2,74.1,66.3,63.0,Low
STU00013,Male,11,59.3,3.2,54.6,81.8,74.0,71.3,70.0,Low
STU00014,Female,11,92.7,5.6,74.5,68.3,68.8,72.9,71.2,High
STU00015,Male,12,88.3,6.1,57.4,78.6,57.7,73.1,67.0,High
STU00016,Female,11,90.0,4.7,63.2,70.2,66.9,63.2,66.0,High
STU00017,Male,11,90.8,2.8,63.4,70.2,74.3,73.3,69.6,Medium
STU00018,Male,12,76.5,6.3,74.8,64.4,56.5,66.9,66.4,Medium
STU00019,Male,10,75.7,3.3,65.6,67.3,67.5,53.0,64.0,Medium
STU00020,Female,11,81.8,3.3,55.2,71.8,64.9,62.8,63.6,Medium
STU00021,Female,10,60.1,1.0,51.0,66.7,78.0,65.8,64.1,Medium
STU00022,Male,9,95.9,5.0,68.8,73.5,70.5,76.3,72.0,High
STU00023,Male,12,82.8,5.7,65.0,83.6,78.3,62.5,72.7,Medium
STU00024,Male,12,69.9,3.6,76.9,49.0,75.0,68.8,66.5,Medium
STU00025,Male,11,65.2,5.5,60.6,62.6,67.5,69.1,64.3,Medium
STU00026,Male,10,53.0,0.5,63.1,65.8,54.2,55.4,60.6,Low
STU00027,Male,11,85.5,6.5,75.2,66.4,59.2,63.6,67.0,High
STU00028,Male,10,67.7,3.6,40.7,73.8,61.2,57.6,58.1,Medium
STU00029,Female,9,91.8,3.1,71.4,44.5,58.4,51.7,56.8,Medium
STU00030,Female,12,82.6,6.4,58.1,72.8,64.1,84.0,68.9,High
STU00031,Male,11,65.8,2.8,70.9,68.0,70.2,64.2,68.6,Medium
STU00032,Male,9,96.7,7.8,66.2,66.2,60.5,60.9,64.0,High
STU00033,Male,12,89.1,7.6,66.6,84.6,64.5,63.6,71.0,High
STU00034,Female,9,57.4,2.7,83.3,74.4,50.6,59.8,69.4,Low
STU00035,Female,10,53.9,1.1,66.1,50.5,56.1,68.6,59.9,Low
STU00036,Female,10,60.9,0.8,55.0,68.3,73.9,64.3,64.6,Low
STU00037,Male,12,86.9,4.2,69.6,81.7,63.0,86.7,75.3,Medium
STU00038,Male,10,100.0,6.6,61.9,55.9,59.3,62.2,59.6,High
STU00039,Male,10,83.4,5.0,80.7,66.6,66.7,65.4,70.6,Medium
STU00040,Female,11,77.9,4.8,72.6,52.4,55.7,58.3,60.3,Medium
STU00041,Female,10,80.1,6.8,64.0,62.3,59.1,64.6,62.6,High
STU00042,Female,11,68.0,1.7,72.4,60.3,57.0,50.8,61.4,Medium
STU00043,Male,10,82.8,6.1,71.9,66.4,61.0,51.4,64.0,High
STU00044,Male,12,57.2,3.2,68.1,54.4,66.2,67.1,63.4,Low
STU00045,Male,10,87.5,3.3,76.2,68.5,64.4,55.6,67.4,Medium
STU00046,Male,12,65.8,4.9,66.1,57.7,56.8,64.5,61.4,Medium
STU00047,Female,12,77.0,4.3,74.5,54.1,71.9,62.5,65.5,Medium
STU00048,Female,10,71.6,5.4,53.3,57.1,68.3,69.2,60.6,Medium
STU00049,Male,12,69.4,3.9,74.9,66.1,64.3,69.0,69.0,Medium
STU00050,Female,11,90.0,7.5,55.7,67.3,70.4,63.7,63.7,High
STU00051,Male,9,55.1,2.2,69.3,71.1,62.6,61.6,67.0,Low
STU00052,Female,12,56.1,1.9,75.9,70.5,53.4,65.8,67.8,Low
STU00053,Female,9,57.4,1.7,59.9,59.8,68.5,49.6,59.5,Low
STU00054,Female,10,61.9,3.3,58.2,71.3,76.3,88.9,71.9,Low
STU00055,Female,10,72.1,2.2,76.6,81.7,59.8,66.3,72.7,Medium
STU00056,Female,10,56.7,2.1,63.2,72.8,43.8,65.6,62.7,Low
STU00057,Male,9,89.8,5.9,74.8,60.0,52.4,65.0,63.9,High
STU00058,Male,10,100.0,5.3,67.5,59.5,51.8,64.6,61.4,High
STU00059,Female,9,90.5,6.4,62.0,61.8,56.7,63.1,61.1,High
STU00060,Male,12,62.7,3.6,57.6,56.9,66.2,60.1,59.6,Medium
STU00061,Female,12,84.8,1.7,87.4,55.9,61.7,71.8,69.7,Medium
STU00062,Male,11,69.9,1.0,80.5,73.2,66.8,69.3,73.3,Medium
STU00063,Male,11,65.9,1.7,52.7,43.1,68.4,60.5,54.5,Low
STU00064,Female,9,80.6,3.0,52.7,58.3,63.9,68.6,59.8,Medium
STU00065,Female,12,77.9,3.8,70.6,72.6,77.6,59.1,70.3,Medium
STU00066,Female,11,67.0,4.5,59.7,65.8,60.7,58.3,61.4,Medium
STU00067,Female,10,95.2,5.7,62.9,66.1,52.0,67.9,62.7,High
STU00068,Female,12,52.7,2.4,68.1,69.6,78.1,66.4,70.2,Low
STU00069,Male,12,88.0,7.0,59.8,66.6,62.0,75.1,65.3,High
STU00070,Male,10,57.8,2.4,52.0,78.8,62.9,63.4,64.5,Low
STU00071,Male,11,45.1,2.1,65.9,55.5,54.8,63.4,60.1,Low
STU00072,Male,9,93.2,5.9,62.6,68.7,64.4,69.5,66.2,High
STU00073,Female,10,86.7,8.8,59.5,75.3,56.6,81.3,68.0,High
STU00074,Male,12,45.8,0.5,69.6,67.8,65.4,59.1,66.1,Low
STU00075,Male,10,73.8,2.0,63.2,66.4,57.8,71.5,64.7,Medium
STU00076,Male,9,76.0,2.3,62.6,66.6,48.1,56.9,59.8,Medium
STU00077,Male,10,66.8,0.5,69.9,69.7,64.1,67.0,68.1,Low
STU00078,Female,11,93.6,6.9,68.3,68.3,73.3,58.1,67.3,High
STU00079,Male,12,84.5,1.9,53.2,67.8,61.3,72.4,63.0,Medium
STU00080,Female,10,81.4,6.7,65.4,71.2,55.8,63.7,64.9,High
STU00081,Female,9,45.6,2.2,76.2,65.9,68.2,65.9,69.4,Low
STU00082,Female,10,85.3,5.3,63.9,66.2,74.9,70.3,68.1,Medium
STU00083,Female,9,77.2,5.2,66.6,72.5,68.6,71.2,69.7,Medium
STU00084,Female,10,99.4,4.4,56.4,67.6,73.8,65.3,65.0,High
STU00085,Female,10,83.8,3.2,67.6,59.1,52.7,75.4,63.6,Medium
STU00086,Female,12,84.1,7.2,71.0,62.7,77.0,69.7,69.4,Medium
STU00087,Male,11,83.8,5.5,77.7,62.1,72.1,81.0,72.6,Medium
STU00088,Male,12,75.4,3.6,61.0,74.5,56.0,63.0,64.4,Medium
